Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-08 09:16:45,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 09:16:45,,Session Reporter,"",,
2011-04-08 09:16:45,,Hashcode,"b9d606e450",,
2011-04-08 09:16:45,,Session Charter,"dfg",,
2011-04-08 09:16:46,,Setup,"dfg",,
2011-04-08 09:16:47,,autogenerated,"screenshot saved",1_20110408_091647_b9d606e450.jpg,
2011-04-08 09:16:47,,autogenerated,"screenshot saved",2_20110408_091647_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",3_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",4_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",5_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",6_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:49,,autogenerated,"screenshot saved",7_20110408_091649_b9d606e450.jpg,
2011-04-08 09:16:50,,autogenerated,"screenshot saved",8_20110408_091649_b9d606e450.jpg,
2011-04-08 09:16:50,,autogenerated,"screenshot saved",9_20110408_091650_b9d606e450.jpg,
2011-04-08 09:16:51,,autogenerated,"screenshot saved",10_20110408_091651_b9d606e450.jpg,
2011-04-08 09:16:52,,Session End. Duration,"00:00:06",,
