Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-19 12:21:46,lala,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 12:21:46,lala,Hash Code,"b8921c9",,
2011-04-19 12:21:46,lala,Session Reporter,"lala",,
2011-04-19 12:21:46,lala,Session Charter,"lala",,
2011-04-19 12:22:51,lala,Setup,"sakldsad",,
2011-04-19 12:23:29,lala,autogenerated,"screenshot saved",1_20110419_122329_b8921c9.jpg,
2011-04-19 12:24:07,lala,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5633843919/",,
2011-04-19 12:24:22,lala,autogenerated,"screenshot saved",2_20110419_122422_b8921c9.jpg,
2011-04-19 12:24:58,lala,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5634425534/",,
2011-04-19 12:25:09,lala,Session End. Duration,"00:03:22",,
