Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-18 10:57:52,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 10:57:52,Nicholas,Hash Code,"c469303",,
2011-04-18 10:57:52,Nicholas,Twitter Account,"Pvt10RR2",,
2011-04-18 10:57:52,Nicholas,Session Reporter,"Nicholas",,
2011-04-18 10:57:52,Nicholas,Session Charter,"Chartin",,
2011-04-18 10:57:52,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%23c469303",,
2011-04-18 10:57:55,Nicholas,Setup,"Setuppinn",,
2011-04-18 10:57:59,Nicholas,Note,"Notingngng",,
2011-04-18 10:58:49,Nicholas,autogenerated,"screenshot saved",1_20110418_105849_c469303.jpg,
2011-04-18 10:58:52,Nicholas,autogenerated,"screenshot saved",2_20110418_105852_c469303.jpg,
2011-04-18 10:59:01,Nicholas,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5630842308/",,
2011-04-18 10:59:03,Nicholas,autogenerated,"screenshot saved",3_20110418_105903_c469303.jpg,
