Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-15 13:46:18,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-15 13:46:18,Kristoffer,Hash Code,"5cb373e",,
2011-04-15 13:46:18,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-15 13:46:18,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-15 13:46:18,Kristoffer,Session Charter,"Testa som fan",,
2011-04-15 13:46:18,Kristoffer,Twitter Link,"https://twitter.com/#!/search?q=%235cb373e",,
2011-04-15 13:46:45,Kristoffer,Setup,"fyfan vad fräckt",,
2011-04-15 13:47:17,Kristoffer,autogenerated,"screenshot saved",1_20110415_134717.jpg,
2011-04-15 13:47:26,Kristoffer,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5621741942/",,
2011-04-15 13:48:20,Kristoffer,autogenerated,"screenshot saved",2_20110415_134820.jpg,
2011-04-15 13:48:27,Kristoffer,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5621743346/",,
2011-04-15 13:48:56,Kristoffer,Session End. Duration,"00:02:37",,
